TxID,DeviceID,Timestamp,Type,PacketSize,ResponseTime,EnergyUsed,Uptime,Label
1,2685,5/4/2025 2:07,2,462,35,1.589319678,95,valid
2,4590,5/4/2025 8:16,1,166,75,0.621339202,96,valid
3,3258,5/4/2025 10:55,4,513,66,1.623506882,96,valid
4,3177,5/3/2025 22:32,1,84,10,1.04214678,98,valid
5,1501,5/3/2025 22:35,4,263,24,1.312636409,97,valid
6,4075,5/4/2025 5:04,3,337,59,1.001860825,97,valid
7,1293,5/4/2025 11:55,1,357,64,0.728910946,99,valid
8,3448,5/4/2025 11:03,2,246,37,1.051143438,100,valid
9,4159,5/3/2025 19:12,2,537,56,1.111419419,97,valid
10,1336,5/4/2025 5:42,3,398,75,0.408332215,99,valid
11,1579,5/4/2025 7:01,1,412,35,0.484184165,98,valid
12,4527,5/3/2025 19:22,3,139,80,1.521476237,100,valid
13,4733,5/3/2025 15:28,1,206,46,1.446754517,95,valid
14,2591,5/4/2025 9:16,3,230,16,1.007843213,96,valid
15,966,5/3/2025 20:40,4,323,52,1.918255694,97,valid
16,4781,5/3/2025 19:58,1,230,75,1.9623839,97,valid
17,4320,5/3/2025 13:42,4,425,70,1.317012832,100,valid
18,2034,5/3/2025 23:05,3,172,48,0.723233336,99,valid
19,4865,5/3/2025 20:09,3,255,61,0.346535339,100,valid
20,3477,5/3/2025 16:20,3,557,62,1.444882002,96,valid
21,2993,5/4/2025 3:47,3,394,74,1.735903076,100,valid
22,570,5/4/2025 8:23,1,509,29,1.697468315,96,valid
23,1480,5/4/2025 9:32,4,77,46,0.767442284,96,valid
24,184,5/3/2025 21:35,2,80,49,1.326015687,95,valid
25,1620,5/4/2025 6:54,4,419,64,1.529773983,99,valid
26,3040,5/3/2025 15:51,4,403,57,0.31974465,98,valid
27,4378,5/3/2025 15:59,1,398,59,1.721382073,99,valid
28,16,5/4/2025 11:49,1,347,56,1.75645679,98,valid
29,3572,5/3/2025 20:26,2,206,68,1.657095618,96,valid
30,2335,5/3/2025 23:52,3,413,30,0.418973217,99,valid
31,2934,5/4/2025 9:43,2,216,62,1.949167238,96,valid
32,2480,5/4/2025 3:26,1,234,50,0.908132858,96,valid
33,9,5/4/2025 6:51,1,59,67,1.052460654,97,valid
34,203,5/4/2025 1:53,3,477,75,0.508252676,95,valid
35,2329,5/4/2025 3:24,2,211,25,0.293532829,100,valid
36,1944,5/4/2025 10:32,3,437,41,1.728538769,100,valid
37,4804,5/4/2025 1:47,3,232,53,1.905176141,100,valid
38,4828,5/4/2025 4:40,2,380,29,0.321811083,98,valid
39,2497,5/4/2025 4:31,3,504,38,1.644397301,100,valid
40,91,5/4/2025 1:38,3,336,68,0.225806933,97,valid
41,91,5/4/2025 6:46,3,277,51,1.471323457,95,valid
42,3835,5/3/2025 17:29,3,452,16,1.060347527,97,valid
43,2995,5/3/2025 21:13,4,316,68,0.347809195,100,valid
44,3430,5/3/2025 23:57,4,543,65,0.958358328,100,valid
45,3857,5/4/2025 5:44,1,94,12,1.125829009,99,valid
46,1084,5/4/2025 8:09,4,337,28,0.983875676,97,valid
47,4717,5/4/2025 10:01,2,166,63,0.802507218,99,valid
48,320,5/3/2025 18:10,4,111,31,0.347284295,97,valid
49,1244,5/3/2025 23:39,2,118,59,1.826125598,99,valid
50,35,5/3/2025 23:25,1,452,15,1.609530131,98,valid
51,927,5/3/2025 14:47,4,457,15,0.483117498,96,valid
52,3130,5/4/2025 2:25,1,368,57,1.610992921,99,valid
53,4249,5/4/2025 9:29,3,70,19,0.497765737,100,valid
54,123,5/4/2025 2:00,1,81,42,0.618190931,96,valid
55,988,5/3/2025 17:22,2,435,64,1.834914062,97,valid
56,3574,5/3/2025 19:36,2,208,61,1.215827766,100,valid
57,4971,5/3/2025 18:03,2,374,67,1.564278028,95,valid
58,2793,5/4/2025 3:52,1,428,33,1.05096796,100,valid
59,2986,5/3/2025 19:07,3,175,72,1.058046233,98,valid
